pokedex_number,pokemon_name,type_1,type_2,ability_1,ability_2,ability_3,number_pokemon_with_typing,primary_color,shape,height,weight,bmi,hit_points,attack,defense,special_attack,special_defense,speed,total_stats,mean,standard_deviation,capture_rate,generation,base_happiness,base_experience,exp_type,exp_to_level_100,can_evolve,evolves_from,final_evolution,mega_evolution,is_default,baby_pokemon,alolan_form,galarian_form,forms_switchable,legendary,mythical,genderless,female_rate,genus,egg_group_1,egg_group_2,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
1,Bulbasaur,Grass,Poison,Overgrow,Chlorophyll,,15,Green,Quadruped,0.7,6.9,14.1,45,49,49,65,65,45,318,53.00,8.64,45,1,70,64,Medium Slow,1059860,true,,false,false,true,false,false,false,false,false,false,false,0.125,Seed ,Monster,Grass,20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
2,Ivysaur,Grass,Poison,Overgrow,Chlorophyll,,15,Green,Quadruped,1,13,13.0,60,62,63,80,80,60,405,67.50,8.90,45,1,70,142,Medium Slow,1059860,true,Bulbasaur,false,false,true,false,false,false,false,false,false,false,0.125,Seed ,Monster,Grass,20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
3,Mega Venusaur,Grass,Poison,Thick Fat,,,15,Green,Quadruped,2.4,155.5,27.0,80,100,123,122,120,80,625,104.17,18.75,45,6,70,281,Medium Slow,1059860,false,Ivysaur,true,true,false,false,false,false,true,false,false,false,0.125,Seed ,Monster,Grass,20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
3,Venusaur,Grass,Poison,Overgrow,Chlorophyll,,15,Green,Quadruped,2,100,25.0,80,82,83,100,100,80,525,87.50,8.90,45,1,70,236,Medium Slow,1059860,false,Ivysaur,true,false,true,false,false,false,true,false,false,false,0.125,Seed ,Monster,Grass,20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
3,Venusaur Gmax,Grass,Poison,Overgrow,Chlorophyll,,15,Green,Quadruped,24,10000,17.4,80,82,83,100,100,80,525,87.50,8.90,45,8,70,236,Medium Slow,1059860,false,Ivysaur,false,false,false,false,false,false,true,false,false,false,0.125,Seed ,Monster,Grass,20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
4,Charmander,Fire,,Blaze,Solar Power,,34,Red,Upright,0.6,8.5,23.6,39,52,43,60,50,65,309,51.50,9.00,45,1,70,62,Medium Slow,1059860,true,,false,false,true,false,false,false,false,false,false,false,0.125,Lizard ,Monster,Dragon,20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
5,Charmeleon,Fire,,Blaze,Solar Power,,34,Red,Upright,1.1,19,15.7,58,64,58,80,65,80,405,67.50,9.23,45,1,70,142,Medium Slow,1059860,true,Charmander,false,false,true,false,false,false,false,false,false,false,0.125,Flame ,Monster,Dragon,20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
6,Charizard,Fire,Flying,Blaze,Solar Power,,7,Red,Upright,1.7,90.5,31.3,78,84,78,109,85,100,534,89.00,11.58,45,1,70,240,Medium Slow,1059860,false,Charmeleon,true,false,true,false,false,false,true,false,false,false,0.125,Flame ,Monster,Dragon,20,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
6,Charizard Gmax,Fire,Flying,Blaze,Solar Power,,7,Red,Upright,28,10000,12.8,78,84,78,109,85,100,534,89.00,11.58,45,8,70,240,Medium Slow,1059860,false,Charmeleon,false,false,false,false,false,false,true,false,false,false,0.125,Flame ,Monster,Dragon,20,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
6,Mega Charizard X,Fire,Dragon,Tough Claws,,,3,Red,Upright,1.7,110.5,38.2,78,130,111,130,85,100,634,105.67,20.15,45,6,70,285,Medium Slow,1059860,false,Charmeleon,true,true,false,false,false,false,true,false,false,false,0.125,Flame ,Monster,Dragon,20,1,0.25,1,0.5,0.25,1,1,1,2,1,1,0.5,2,1,2,1,0.5,1
