pokedex_number,pokemon_name,type_1,type_2,ability_1,ability_2,ability_3,number_pokemon_with_typing,primary_color,shape,height,weight,bmi,hit_points,attack,defense,special_attack,special_defense,speed,total_stats,mean,standard_deviation,capture_rate,generation,base_happiness,base_experience,exp_type,exp_to_level_100,can_evolve,evolves_from,final_evolution,mega_evolution,is_default,baby_pokemon,alolan_form,galarian_form,forms_switchable,legendary,mythical,genderless,female_rate,genus,egg_group_1,egg_group_2,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
1,Bulbasaur,Grass,Poison,Overgrow,Chlorophyll,,15,Green,Quadruped,0.70,6.90,14.10,45,49,49,65,65,45,318,53.00,8.64,45,1,70,64,Medium Slow,1059860,TRUE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.125,Seed ,Monster,Grass,20,1.00,2.00,0.50,0.50,0.25,2.00,0.50,1.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,0.50
2,Ivysaur,Grass,Poison,Overgrow,Chlorophyll,,15,Green,Quadruped,1.00,13.00,13.00,60,62,63,80,80,60,405,67.50,8.90,45,1,70,142,Medium Slow,1059860,TRUE,Bulbasaur,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.125,Seed ,Monster,Grass,20,1.00,2.00,0.50,0.50,0.25,2.00,0.50,1.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,0.50
3,Mega Venusaur,Grass,Poison,Thick Fat,,,15,Green,Quadruped,2.40,155.50,27.00,80,100,123,122,120,80,625,104.17,18.75,45,6,70,281,Medium Slow,1059860,FALSE,Ivysaur,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.125,Seed ,Monster,Grass,20,1.00,2.00,0.50,0.50,0.25,2.00,0.50,1.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,0.50
3,Venusaur,Grass,Poison,Overgrow,Chlorophyll,,15,Green,Quadruped,2.00,100.00,25.00,80,82,83,100,100,80,525,87.50,8.90,45,1,70,236,Medium Slow,1059860,FALSE,Ivysaur,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.125,Seed ,Monster,Grass,20,1.00,2.00,0.50,0.50,0.25,2.00,0.50,1.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,0.50
3,Venusaur Gmax,Grass,Poison,Overgrow,Chlorophyll,,15,Green,Quadruped,24.00,10000.00,17.40,80,82,83,100,100,80,525,87.50,8.90,45,8,70,236,Medium Slow,1059860,FALSE,Ivysaur,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.125,Seed ,Monster,Grass,20,1.00,2.00,0.50,0.50,0.25,2.00,0.50,1.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,0.50
4,Charmander,Fire,,Blaze,Solar Power,,34,Red,Upright,0.60,8.50,23.60,39,52,43,60,50,65,309,51.50,9.00,45,1,70,62,Medium Slow,1059860,TRUE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.125,Lizard ,Monster,Dragon,20,1.00,0.50,2.00,1.00,0.50,0.50,1.00,1.00,2.00,1.00,1.00,0.50,2.00,1.00,1.00,1.00,0.50,0.50
5,Charmeleon,Fire,,Blaze,Solar Power,,34,Red,Upright,1.10,19.00,15.70,58,64,58,80,65,80,405,67.50,9.23,45,1,70,142,Medium Slow,1059860,TRUE,Charmander,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.125,Flame ,Monster,Dragon,20,1.00,0.50,2.00,1.00,0.50,0.50,1.00,1.00,2.00,1.00,1.00,0.50,2.00,1.00,1.00,1.00,0.50,0.50
6,Charizard,Fire,Flying,Blaze,Solar Power,,7,Red,Upright,1.70,90.50,31.30,78,84,78,109,85,100,534,89.00,11.58,45,1,70,240,Medium Slow,1059860,FALSE,Charmeleon,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.125,Flame ,Monster,Dragon,20,1.00,0.50,2.00,2.00,0.25,1.00,0.50,1.00,0.00,1.00,1.00,0.25,4.00,1.00,1.00,1.00,0.50,0.50
6,Charizard Gmax,Fire,Flying,Blaze,Solar Power,,7,Red,Upright,28.00,10000.00,12.80,78,84,78,109,85,100,534,89.00,11.58,45,8,70,240,Medium Slow,1059860,FALSE,Charmeleon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.125,Flame ,Monster,Dragon,20,1.00,0.50,2.00,2.00,0.25,1.00,0.50,1.00,0.00,1.00,1.00,0.25,4.00,1.00,1.00,1.00,0.50,0.50
6,Mega Charizard X,Fire,Dragon,Tough Claws,,,3,Red,Upright,1.70,110.50,38.20,78,130,111,130,85,100,634,105.67,20.15,45,6,70,285,Medium Slow,1059860,FALSE,Charmeleon,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.125,Flame ,Monster,Dragon,20,1.00,0.25,1.00,0.50,0.25,1.00,1.00,1.00,2.00,1.00,1.00,0.50,2.00,1.00,2.00,1.00,0.50,1.00
